id	question_id	choice	choice_number	created_at	updated_at	is_correct	correct_answer	order_id	media_type	media_url	shuffle_order_id	percentage_of_answer
78	12	Dobutamine	1	2017-09-28 09:05:17	2020-06-17 11:16:05	1	NULL	NULL	NULL	NULL	NULL	40
79	12	Dopamine	2	2017-09-28 09:05:17	2020-06-14 20:32:55	0	NULL	NULL	NULL	NULL	NULL	3
80	12	Echocardiography	3	2017-09-28 09:05:17	2020-07-15 09:21:14	0	NULL	NULL	NULL	NULL	NULL	31
81	12	Hydralazine	4	2017-09-28 09:05:17	2020-06-14 20:32:55	0	NULL	NULL	NULL	NULL	NULL	19
82	12	MUGA scan	5	2017-09-28 09:05:17	2020-06-14 20:32:55	0	NULL	NULL	NULL	NULL	NULL	3
83	11	Dopamine	1	2017-09-28 09:09:50	2020-07-15 10:02:23	1	NULL	NULL	NULL	NULL	NULL	62
84	11	Echocardiography	2	2017-09-28 09:09:50	2020-07-15 09:47:09	0	NULL	NULL	NULL	NULL	NULL	17
85	11	Hydralazine	3	2017-09-28 09:09:50	2020-06-14 20:29:16	0	NULL	NULL	NULL	NULL	NULL	7
86	11	MUGA scan	4	2017-09-28 09:09:50	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
87	11	Synchronized cardioversion	5	2017-09-28 09:09:50	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	9
88	16	Additional IV fluids	1	2017-09-28 09:09:56	2017-09-28 09:09:56	0	NULL	NULL	NULL	NULL	NULL	NULL
89	16	Antibiotics and high-dose steroids	2	2017-09-28 09:09:56	2017-09-28 09:09:56	0	NULL	NULL	NULL	NULL	NULL	NULL
90	16	Inotropic drugs	3	2017-09-28 09:09:56	2019-04-15 03:44:39	1	NULL	NULL	NULL	NULL	NULL	NULL
91	16	Reoperation	4	2017-09-28 09:09:56	2017-09-28 09:09:56	0	NULL	NULL	NULL	NULL	NULL	NULL
92	16	Vasodilators alone	5	2017-09-28 09:09:56	2017-09-28 09:09:56	0	NULL	NULL	NULL	NULL	NULL	NULL
93	17	Additional IV fluids	1	2017-09-28 09:10:28	2017-09-28 09:10:28	0	NULL	NULL	NULL	NULL	NULL	NULL
94	17	Antibiotics and high-dose steroids	2	2017-09-28 09:10:28	2017-09-28 09:10:28	0	NULL	NULL	NULL	NULL	NULL	NULL
95	17	Inotropic drugs	3	2017-09-28 09:10:28	2019-04-15 03:44:39	1	NULL	NULL	NULL	NULL	NULL	NULL
96	17	Reoperation	4	2017-09-28 09:10:28	2017-09-28 09:10:28	0	NULL	NULL	NULL	NULL	NULL	NULL
97	17	Vasodilators alone	5	2017-09-28 09:10:28	2017-09-28 09:10:28	0	NULL	NULL	NULL	NULL	NULL	NULL
103	15	Intravenous labetalol	1	2017-09-28 09:12:17	2020-06-22 17:48:28	1	NULL	NULL	NULL	NULL	NULL	85
104	15	Intravenous morphine	2	2017-09-28 09:12:17	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
105	15	Oral clonidine	3	2017-09-28 09:12:17	2020-06-14 03:25:29	0	NULL	NULL	NULL	NULL	NULL	1
106	15	Oral metoprolol	4	2017-09-28 09:12:17	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
107	15	Sublingual nitroglycerin	5	2017-09-28 09:12:17	2020-07-07 13:48:03	0	NULL	NULL	NULL	NULL	NULL	5
108	19	Additional IV fluids	1	2017-09-28 09:13:14	2020-07-13 23:00:31	0	NULL	NULL	NULL	NULL	NULL	7
109	19	Antibiotics and high-dose steroids	2	2017-09-28 09:13:14	2020-06-10 19:12:29	0	NULL	NULL	NULL	NULL	NULL	3
110	19	Inotropic drugs	3	2017-09-28 09:13:14	2020-07-13 23:00:31	1	NULL	NULL	NULL	NULL	NULL	74
111	19	Reoperation	4	2017-09-28 09:13:14	2020-06-20 11:20:27	0	NULL	NULL	NULL	NULL	NULL	7
112	19	Vasodilators alone	5	2017-09-28 09:13:14	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	4
113	20	Additional IV fluids	1	2017-09-28 09:14:18	2017-09-28 09:14:18	0	NULL	NULL	NULL	NULL	NULL	NULL
114	20	Antibiotics and high-dose steroids	2	2017-09-28 09:14:18	2017-09-28 09:14:18	0	NULL	NULL	NULL	NULL	NULL	NULL
115	20	Inotropic drugs	3	2017-09-28 09:14:18	2019-04-15 03:44:39	1	NULL	NULL	NULL	NULL	NULL	NULL
116	20	Reoperation	4	2017-09-28 09:14:18	2017-09-28 09:14:18	0	NULL	NULL	NULL	NULL	NULL	NULL
117	20	Vasodilators alone	5	2017-09-28 09:14:18	2017-09-28 09:14:18	0	NULL	NULL	NULL	NULL	NULL	NULL
118	21	Additional IV fluids	1	2017-09-28 09:15:36	2020-06-09 20:57:43	0	NULL	NULL	NULL	NULL	NULL	7
119	21	Antibiotics and high-dose steroids	2	2017-09-28 09:15:36	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
120	21	Inotropic drugs	3	2017-09-28 09:15:36	2020-06-11 20:31:25	1	NULL	NULL	NULL	NULL	NULL	75
121	21	Reoperation	4	2017-09-28 09:15:36	2020-06-05 11:25:38	0	NULL	NULL	NULL	NULL	NULL	6
122	21	Vasodilators alone	5	2017-09-28 09:15:36	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	7
143	26	Continue heparin and warfarin until INR is therapeutic for 24 hours	1	2017-09-29 01:35:02	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
144	26	Discontinue heparin; continue warfarin	2	2017-09-29 01:35:02	2020-07-15 08:51:52	0	NULL	NULL	NULL	NULL	NULL	49
145	26	Continue heparin; discontinue warfarin	3	2017-09-29 01:35:02	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
146	26	Discontinue heparin and warfarin	4	2017-09-29 01:35:02	2020-07-18 13:17:38	1	NULL	NULL	NULL	NULL	NULL	34
147	26	Continue heparin and warfarin, administer vitamin K	5	2017-09-29 01:35:02	2020-06-23 19:22:36	0	NULL	NULL	NULL	NULL	NULL	1
148	27	Iron replacement for 4-6 months	1	2017-09-29 01:36:42	2020-07-01 16:56:40	1	NULL	NULL	NULL	NULL	NULL	83
149	27	Lifelong Vitamin B6 supplementation	2	2017-09-29 01:36:42	2020-07-02 08:34:13	0	NULL	NULL	NULL	NULL	NULL	1
150	27	Lifelong Vitamin B1 supplementation	3	2017-09-29 01:36:42	2020-07-02 08:34:13	0	NULL	NULL	NULL	NULL	NULL	1
151	27	Folic acid supplementation	4	2017-09-29 01:36:42	2020-06-23 19:22:44	0	NULL	NULL	NULL	NULL	NULL	5
152	27	Obtain a bone-marrow biopsy	5	2017-09-29 01:36:42	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
153	28	Lifelong folic acid supplementation	1	2017-09-29 01:38:11	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
154	28	Lifelong Vitamin B12 supplementation	2	2017-09-29 01:38:11	2020-06-16 15:55:47	1	NULL	NULL	NULL	NULL	NULL	89
155	28	Iron supplementation for 4-6 months	3	2017-09-29 01:38:11	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
156	28	Obtain a Coomb’s test	4	2017-09-29 01:38:11	2020-05-31 20:48:38	0	NULL	NULL	NULL	NULL	NULL	1
157	28	Give corticosteroids and iron supplementation	5	2017-09-29 01:38:11	2020-06-16 15:55:47	0	NULL	NULL	NULL	NULL	NULL	1
158	29	Minor allergic reaction; Administer antihistamines	1	2017-09-29 01:39:51	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
159	29	Nonhemolytic febrile reaction; Administer antihistamines	2	2017-09-29 01:39:51	2020-06-15 11:10:18	0	NULL	NULL	NULL	NULL	NULL	16
160	29	Minor allergic reaction; Discontinue transfusion	3	2017-09-29 01:39:51	2020-06-18 13:32:03	0	NULL	NULL	NULL	NULL	NULL	2
161	29	Hemolytic transfusion reaction; Administer antihistamines	4	2017-09-29 01:39:51	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
162	29	Hemolytic transfusion reaction; Discontinue transfusion	5	2017-09-29 01:39:51	2020-05-30 08:03:59	1	NULL	NULL	NULL	NULL	NULL	66
168	30	Acute lymphocytic Leukemia	1	2017-09-29 10:37:48	2020-06-23 19:23:38	0	NULL	NULL	NULL	NULL	NULL	3
169	30	Acute myelogenous leukemia	2	2017-09-29 10:37:48	2020-06-19 07:10:31	0	NULL	NULL	NULL	NULL	NULL	11
170	30	Chronic lymphocytic leukemia	3	2017-09-29 10:37:48	2020-06-09 11:30:36	0	NULL	NULL	NULL	NULL	NULL	6
171	30	Chronic myelogenous leukemia	4	2017-09-29 10:37:48	2020-07-08 10:47:21	1	NULL	NULL	NULL	NULL	NULL	78
172	30	Hairy cell leukemia	5	2017-09-29 10:37:48	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
178	32	Dronabinol + dexamethasone	1	2017-09-29 10:42:53	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	4
179	32	Aprepitant + dexamethasone + 5-HT3 receptor antagonist	2	2017-09-29 10:42:53	2020-07-15 15:33:31	1	NULL	NULL	NULL	NULL	NULL	40
180	32	Dexamethasone + 5-HT3 receptor antagonist	3	2017-09-29 10:42:53	2020-06-17 20:49:15	0	NULL	NULL	NULL	NULL	NULL	37
181	32	Prochlorperazine + dexamethasone + dronabinol	4	2017-09-29 10:42:53	2020-06-25 16:53:58	0	NULL	NULL	NULL	NULL	NULL	12
182	32	Aprepitant + dronabinol	5	2017-09-29 10:42:53	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
183	33	ESAs can improve survival in patients with breast and cervical cancers	1	2017-09-29 10:44:25	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
184	33	ESAs are utilized in patients receiving myelosuppresive chemotherapy with an anticipated curative outcome	2	2017-09-29 10:44:25	2020-06-20 09:26:18	0	NULL	NULL	NULL	NULL	NULL	15
185	33	ESAs should only be used with the hemoglobin level is	3	2017-09-29 10:44:25	2020-06-19 19:24:29	1	NULL	NULL	NULL	NULL	NULL	34
186	33	ESAs show efficacy with low iron levels	4	2017-09-29 10:44:25	2020-07-08 11:02:10	0	NULL	NULL	NULL	NULL	NULL	9
187	33	The highest-tolerated dose should be used in patients with chronic kidney disease	5	2017-09-29 10:44:25	2020-06-09 10:48:32	0	NULL	NULL	NULL	NULL	NULL	35
188	34	Doxorubicin frequently causes an acneiform rash	1	2017-09-29 10:45:55	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
189	34	Doxorubicin will increase her risk for deep vein thrombosis (DVT) and pulmonary embolism (PE)	2	2017-09-29 10:45:55	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
190	34	Doxorubicin has a maximum lifetime dose, due to the risk of cardiac toxicity	3	2017-09-29 10:45:55	2020-07-04 10:22:20	1	NULL	NULL	NULL	NULL	NULL	85
191	34	Doxorubicin has a maximum lifetime dose, due to the risk of pulmonary toxicity	4	2017-09-29 10:45:55	2020-07-14 14:54:15	0	NULL	NULL	NULL	NULL	NULL	7
192	34	Doxorubicin frequently causes cystitis	5	2017-09-29 10:45:55	2020-06-23 19:26:27	0	NULL	NULL	NULL	NULL	NULL	1
193	35	Hydroxyurea	1	2017-09-29 10:47:20	2020-07-04 19:12:35	1	NULL	NULL	NULL	NULL	NULL	88
194	35	Darbepoetin	2	2017-09-29 10:47:20	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
195	35	Epoetin	3	2017-09-29 10:47:20	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
196	35	Corticosteroids	4	2017-09-29 10:47:20	2020-06-22 17:52:42	0	NULL	NULL	NULL	NULL	NULL	3
197	35	Intravenous immunoglobulin	5	2017-09-29 10:47:20	2020-06-15 13:26:00	0	NULL	NULL	NULL	NULL	NULL	4
198	36	Iron-deficiency anemia	1	2017-09-29 11:42:04	2020-07-03 23:37:26	1	NULL	NULL	NULL	NULL	NULL	31
199	36	Anemia of chronic disease	2	2017-09-29 11:42:04	2020-07-14 15:03:35	0	NULL	NULL	NULL	NULL	NULL	9
200	36	Chronic myelogenous leukemia	3	2017-09-29 11:42:04	2020-06-30 10:26:35	0	NULL	NULL	NULL	NULL	NULL	1
201	36	Sideroblastic anemia	4	2017-09-29 11:42:04	2020-07-12 12:24:35	0	NULL	NULL	NULL	NULL	NULL	14
202	36	Essential thrombocytosis	5	2017-09-29 11:42:04	2020-07-14 15:03:35	0	NULL	NULL	NULL	NULL	NULL	40
203	37	Transfuse the patient	1	2017-09-29 11:43:37	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
204	37	Continue oral ferrous sulfate and supplement with ascorbic acid	2	2017-09-29 11:43:37	2020-07-15 15:34:57	1	NULL	NULL	NULL	NULL	NULL	61
205	37	Continue oral ferrous sulfate and supplement with omeprazole	3	2017-09-29 11:43:37	2020-07-08 11:12:41	0	NULL	NULL	NULL	NULL	NULL	5
206	37	Administer folate	4	2017-09-29 11:43:37	2020-07-06 08:55:03	0	NULL	NULL	NULL	NULL	NULL	11
207	37	Administer iron intravenously	5	2017-09-29 11:43:37	2020-07-17 16:33:50	0	NULL	NULL	NULL	NULL	NULL	14
208	38	Begin intravenous immunoglobulin therapy	1	2017-09-29 11:45:17	2020-06-25 17:16:28	0	NULL	NULL	NULL	NULL	NULL	6
209	38	Administer a blood transfusion to prevent an aplastic crisis	2	2017-09-29 11:45:17	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
210	38	Send the child home with advice that she may return to school	3	2017-09-29 11:45:17	2020-07-02 18:11:41	1	NULL	NULL	NULL	NULL	NULL	41
211	38	Send the child home with advice that she refrain from returning to school	4	2017-09-29 11:45:17	2020-07-02 18:11:41	0	NULL	NULL	NULL	NULL	NULL	22
212	38	Send the child home and caution to isolate her from any pregnant women	5	2017-09-29 11:45:17	2020-07-08 11:15:26	0	NULL	NULL	NULL	NULL	NULL	26
213	39	Ferritin level	1	2017-09-29 11:47:23	2020-07-02 18:13:18	0	NULL	NULL	NULL	NULL	NULL	7
214	39	Ferritin and serum iron levels	2	2017-09-29 11:47:23	2020-06-25 11:03:06	0	NULL	NULL	NULL	NULL	NULL	23
215	39	Ferritin level and total iron-binding capacity	3	2017-09-29 11:47:23	2020-06-10 16:55:07	0	NULL	NULL	NULL	NULL	NULL	50
216	39	Ferritin and soluble transferrin receptor levels	4	2017-09-29 11:47:23	2020-07-14 14:56:08	1	NULL	NULL	NULL	NULL	NULL	11
217	39	Serum iron level	5	2017-09-29 11:47:23	2020-07-02 18:13:18	0	NULL	NULL	NULL	NULL	NULL	2
218	40	Reticulocyte count	1	2017-09-29 11:48:36	2020-06-23 19:46:11	1	NULL	NULL	NULL	NULL	NULL	60
219	40	Serum folate level	2	2017-09-29 11:48:36	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
220	40	Serum ferritin level	3	2017-09-29 11:48:36	2020-07-14 14:18:29	0	NULL	NULL	NULL	NULL	NULL	11
221	40	Serum iron level	4	2017-09-29 11:48:36	2020-07-10 01:37:38	0	NULL	NULL	NULL	NULL	NULL	13
222	40	Hemoglobin electrophoresis	5	2017-09-29 11:48:36	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	5
223	41	Referral to social services	1	2017-09-29 11:49:47	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
224	41	Administer oral ferrous sulfate	2	2017-09-29 11:49:47	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
225	41	Packed red blood cell transfusion	3	2017-09-29 11:49:47	2020-07-02 18:15:01	0	NULL	NULL	NULL	NULL	NULL	9
226	41	Bone marrow biopsy	4	2017-09-29 11:49:47	2020-06-23 19:47:52	1	NULL	NULL	NULL	NULL	NULL	74
227	41	Chest radiograph	5	2017-09-29 11:49:47	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	5
228	42	Hydroxyurea	1	2017-09-29 11:51:35	2020-07-17 17:58:25	0	NULL	NULL	NULL	NULL	NULL	2
229	42	Interferon alpha 2b	2	2017-09-29 11:51:35	2020-06-26 13:44:32	0	NULL	NULL	NULL	NULL	NULL	6
230	42	Rituximab	3	2017-09-29 11:51:35	2020-07-14 12:00:34	0	NULL	NULL	NULL	NULL	NULL	11
231	42	Cytarabine	4	2017-09-29 11:51:35	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	8
232	42	Imatinib	5	2017-09-29 11:51:35	2020-07-14 12:00:34	1	NULL	NULL	NULL	NULL	NULL	69
233	43	Acute myelogenous leukemia	1	2017-09-29 11:52:52	2020-06-24 06:41:43	0	NULL	NULL	NULL	NULL	NULL	5
234	43	Acute lymphocytic leukemia	2	2017-09-29 11:52:52	2020-06-16 08:08:22	0	NULL	NULL	NULL	NULL	NULL	6
235	43	Chronic myelogenous leukemia	3	2017-09-29 11:52:52	2020-06-26 08:21:07	0	NULL	NULL	NULL	NULL	NULL	11
236	43	Chronic lymphocytic leukemia	4	2017-09-29 11:52:52	2020-06-26 08:21:07	1	NULL	NULL	NULL	NULL	NULL	66
237	43	Asymptomatic Multiple myeloma	5	2017-09-29 11:52:52	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
238	44	Doxorubicin	1	2017-09-29 11:54:05	2020-06-25 09:54:29	0	NULL	NULL	NULL	NULL	NULL	9
239	44	Bleomycin	2	2017-09-29 11:54:05	2020-07-17 20:55:41	0	NULL	NULL	NULL	NULL	NULL	8
240	44	Imatinib	3	2017-09-29 11:54:05	2020-07-17 20:55:41	0	NULL	NULL	NULL	NULL	NULL	38
241	44	Fludarabine	4	2017-09-29 11:54:05	2020-07-17 20:55:41	1	NULL	NULL	NULL	NULL	NULL	33
242	44	Vincristine	5	2017-09-29 11:54:05	2020-06-07 15:14:05	0	NULL	NULL	NULL	NULL	NULL	10
243	45	Nothing; assure the patient that the mass is benign	1	2017-09-29 11:55:59	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
244	45	Begin Tamoxifen therapy	2	2017-09-29 11:55:59	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
245	45	Repeat mammogram in 6 months	3	2017-09-29 11:55:59	2020-06-23 19:54:42	0	NULL	NULL	NULL	NULL	NULL	5
246	45	Observation for 6 months and biopsy if it persists	4	2017-09-29 11:55:59	2020-07-01 16:59:55	0	NULL	NULL	NULL	NULL	NULL	11
247	45	Perform ultrasound	5	2017-09-29 11:55:59	2020-07-01 16:59:55	1	NULL	NULL	NULL	NULL	NULL	73
248	31	High emetic risk	1	2017-09-29 11:57:36	2020-07-02 11:01:32	1	NULL	NULL	NULL	NULL	NULL	58
249	31	Moderate emetic risk	2	2017-09-29 11:57:36	2020-06-24 03:32:24	0	NULL	NULL	NULL	NULL	NULL	29
250	31	Low emetic risk	3	2017-09-29 11:57:36	2020-06-23 19:25:32	0	NULL	NULL	NULL	NULL	NULL	8
251	31	Minimal emetic risk	4	2017-09-29 11:57:36	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	3
252	31	This patient is not as risk for chemotherapy induced nausea and vomiting.	5	2017-09-29 11:57:36	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	3
253	46	Begin heparin.	1	2017-09-29 12:00:02	2020-07-14 13:06:19	0	NULL	NULL	NULL	NULL	NULL	8
254	46	Begin heparin and warfarin.	2	2017-09-29 12:00:02	2020-07-18 13:18:03	1	NULL	NULL	NULL	NULL	NULL	49
255	46	Begin warfarin, target INR 2.0 -3.0	3	2017-09-29 12:00:02	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	8
256	46	Begin warfarin, target INR 2.5 -3.5	4	2017-09-29 12:00:02	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
257	46	Consult IR for IVC filter placement	5	2017-09-29 12:00:02	2020-07-14 13:06:19	0	NULL	NULL	NULL	NULL	NULL	27
258	47	Hemophilia A	1	2017-09-29 12:02:28	2020-06-28 12:21:17	1	NULL	NULL	NULL	NULL	NULL	77
259	47	Hemophilia B	2	2017-09-29 12:02:28	2020-07-19 06:13:07	0	NULL	NULL	NULL	NULL	NULL	10
260	47	Hemophilia C	3	2017-09-29 12:02:28	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
261	47	Factor VII deficiency	4	2017-09-29 12:02:28	2020-07-19 06:13:07	0	NULL	NULL	NULL	NULL	NULL	4
262	47	Child abuse	5	2017-09-29 12:02:28	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
263	48	Elevated platelet count	1	2017-09-29 12:05:15	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
264	48	Prolonged PT	2	2017-09-29 12:05:15	2020-06-23 19:58:59	0	NULL	NULL	NULL	NULL	NULL	10
265	48	Prolonged aPTT	3	2017-09-29 12:05:15	2020-07-06 09:35:44	1	NULL	NULL	NULL	NULL	NULL	65
266	48	Normal bleeding time	4	2017-09-29 12:05:15	2020-06-17 05:13:59	0	NULL	NULL	NULL	NULL	NULL	12
267	48	Decreased factor IX.	5	2017-09-29 12:05:15	2020-06-30 22:16:45	0	NULL	NULL	NULL	NULL	NULL	1
268	49	Vitamin B12 deficiency	1	2017-09-29 12:06:34	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
